"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in_1","pct_in_2"
"Med7",7.09155448186001,-0.0413558792812327,0.106657594168815,0.00459645880778558,0.0619255479364947,"Not significant",27.9896574014221,29.3288590604027
"Havcr2",13.5327664952346,0.0637502155499682,0.11650347895938,0.130735064815958,0.273491437045877,"Not significant",35.6819650937298,54.0939597315436
"Rack1",371.132746646774,-0.0901218044680936,0.0489755173369382,0.0311868043514552,0.138510089760919,"Not significant",99.9353587588882,100
"Trim41",9.347651954081,-0.0532065965630278,0.11561006134341,0.20786269977028,0.350286557119041,"Not significant",45.442792501616,45.2348993288591
"Irgm1",4.95555343972428,0.00986916421597754,0.103633939713288,0.75883977633,0.788881367312329,"Not significant",25.016160310278,28.1208053691275
"Gm5431",3.17568320101219,-0.0340982082075821,0.112104846697477,0.217731461990849,0.359077637106316,"Not significant",22.8829993535876,20.8053691275168
"Gm12185",13.8403393886837,-0.0504819430350312,0.119865450309519,0.11713208562246,0.258415622798298,"Not significant",51.1958629605688,46.0402684563758
"Olfr56",3.03550798543013,-0.019224976213943,0.107182419687818,0.385217472892501,0.498430894998227,"Not significant",16.0310277957337,16.4429530201342
"9930111J21Rik2",6.35356284665604,-0.0565172064461099,0.123288251625737,0.114279606587962,0.255750291771776,"Not significant",33.2255979314803,30.1342281879195
"Zfp62",6.14778364297053,-0.123839924191294,0.182399040015523,0.0480843699717572,0.169441817671815,"Not significant",32.3206205559147,30.2684563758389
"Mgat1",14.2802239715544,-0.00915989902750441,0.0979373226765503,0.099933172308441,0.24070204082309,"Not significant",51.6483516483517,57.0469798657718
"Cnot6",12.9200819937179,-0.0410507597286424,0.0904115196081652,0.112309560968646,0.254022878552955,"Not significant",45.0549450549451,52.2147651006711
"Mapk9",5.85840892357083,-0.0113793668773548,0.0936722895118785,0.0191731025492726,0.111217059932323,"Not significant",29.6703296703297,38.9261744966443
"Rnf130",95.6706286523184,-0.0472383750052328,0.0820605723385288,0.277809819744423,0.413315949415858,"Not significant",96.961861667744,97.9865771812081
"Tbc1d9b",13.1032019681443,-0.0127510677093189,0.0974723236113391,0.383233575644821,0.497298142176302,"Not significant",52.2301228183581,55.7046979865772
"Mrnip",2.24537980553452,0.00115732878439029,0.107467762070983,0.00393460370101061,0.0579970805278837,"Not significant",4.33096315449257,6.51006711409396
"Sqstm1",39.9506615955525,0.0912158829746003,0.137534365408952,0.120588101635541,0.261919510569222,"Not significant",79.5733678086619,87.7181208053691
"Mgat4b",9.70598353635343,0.0416597637483523,0.105589499285883,0.316849809902156,0.445938386353063,"Not significant",43.8914027149321,52.6845637583893
"Ltc4s",22.7907966529643,-0.64023870482971,0.602493468586958,0.00496932133885889,0.0640121279652503,"Not significant",44.8610213316096,43.8926174496644
